,$x$,F,I/S,$P_{loss}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
\multirow{5}{*}{IEEE33},$P_{loss}$,RERCM,CM,$\cellcolor{green}3.77e+00$,$1.39e+02$,$3.62e-04$,$7.39e-04$,$1.4e-04$
,$t[s]$,REBF,G,$3.80e+00$,$\cellcolor{green}1.32e+00$,$7.23e-08$,$2.96e-06$,$1.07e-12$
,Inf1,Meta-GWO,GWO_PAR,$3.87e+00$,$9.79e+01$,$\cellcolor{green}1.49e-08$,$1.49e-08$,$8.44e-14$
,Inf2,Meta-GWO,GWO_PAR,$3.87e+00$,$9.79e+01$,$1.49e-08$,$\cellcolor{green}1.49e-08$,$8.44e-14$
,$\Pi |x|$,Meta-GWO,GWO_PAR,$3.87e+00$,$9.79e+01$,$1.49e-08$,$1.49e-08$,$\cellcolor{green}8.44e-14$
\multirow{5}{*}{IEEE69},$P_{loss}$,RBIM,AB,$\cellcolor{green}4.07e+00$,$1.11e+02$,$2.15e-06$,$2.15e-06$,$2.08e-09$
,$t[s]$,REBF,G,$4.09e+00$,$\cellcolor{green}2.11e+00$,$2.34e-06$,$1.14e-05$,$2.29e-10$
,Inf1,RRBIM,AB,$4.07e+00$,$9.03e+01$,$\cellcolor{green}1.15e-09$,$6.04e-08$,$2.55e-14$
,Inf2,Meta-GA,GA_PAR,$4.08e+00$,$9.39e+01$,$1.27e-08$,$\cellcolor{green}1.26e-08$,$6.09e-14$
,$\Pi |x|$,RRBIM,AB,$4.07e+00$,$9.03e+01$,$1.15e-09$,$6.04e-08$,$\cellcolor{green}2.55e-14$
\multirow{5}{*}{SA},$P_{loss}$,RM,AB,$\cellcolor{green}6.48e-02$,$5.77e+02$,$3.49e-07$,$3.48e-07$,$4.54e-12$
,$t[s]$,Meta-GA,GA_PAR,$6.49e-02$,$\cellcolor{green}7.16e+01$,$6.1e-07$,$6.07e-07$,$1.72e-12$
,Inf1,PM,AB,$6.48e-02$,$2.e+02$,$\cellcolor{green}3.24e-07$,$3.24e-07$,$1.36e-12$
,Inf2,PM,AB,$6.48e-02$,$2.e+02$,$3.24e-07$,$\cellcolor{green}3.24e-07$,$1.36e-12$
,$\Pi |x|$,PBIM,AB,$6.48e-02$,$1.47e+02$,$3.76e-07$,$3.77e-07$,$\cellcolor{green}1.35e-12$
\multirow{5}{*}{CA141},$P_{loss}$,REBF,G,$\cellcolor{green}1.12e+01$,$1.20e+02$,$6.27e-07$,$1.44e-05$,$1.21e-08$
,$t[s]$,Meta-GA,GA_PAR,$1.12e+01$,$\cellcolor{green}1.2e+02$,$1.69e-07$,$6.37e-08$,$1.44e-11$
,Inf1,Meta-WOA,WOA_PAR,$1.12e+01$,$1.42e+02$,$\cellcolor{green}1.42e-07$,$4.11e-08$,$9.26e-12$
,Inf2,Meta-WOA,WOA_PAR,$1.12e+01$,$1.42e+02$,$1.42e-07$,$\cellcolor{green}4.11e-08$,$9.26e-12$
,$\Pi |x|$,Meta-WOA,WOA_PAR,$1.12e+01$,$1.42e+02$,$1.42e-07$,$4.11e-08$,$\cellcolor{green}9.26e-12$
