,$x$,F,I/S,$P_{loss}$,$\Sigma p(I_{pv})$,$1/\Sigma p(DC)$,$t[s]$,Inf1,Inf2,$\Pi |x|$
\multirow{7}{*}{IEEE33},$P_{loss}$,Meta,GWO_PAR,$\cellcolor{green}4.86e+00$,$9.93e-01$,$9.9e-03$,$1.42e+02$,$2.05e-08$,$2.04e-08$,$2.85e-15$
,$\Sigma p(I_{pv})$,REBF,G,$5.73e+00$,$\cellcolor{green}8.33e-02$,$8.61e-03$,$1.53e+01$,$5.53e-09$,$2.35e-06$,$8.17e-16$
,$1/\Sigma p(DC)$,REBF,G,$5.73e+00$,$8.33e-02$,$\cellcolor{green}8.61e-03$,$1.53e+01$,$5.53e-09$,$2.35e-06$,$8.17e-16$
,$t[s]$,PM,AB,$5.3e+00$,$1.1e-01$,$8.91e-03$,$\cellcolor{green}1.29e+01$,$4.95e-07$,$4.95e-07$,$1.64e-14$
,Inf1,REBF,G,$5.73e+00$,$8.33e-02$,$8.61e-03$,$1.53e+01$,$\cellcolor{green}5.53e-09$,$2.35e-06$,$8.17e-16$
,Inf2,Meta,GWO_PAR,$4.86e+00$,$9.93e-01$,$9.9e-03$,$1.42e+02$,$2.05e-08$,$\cellcolor{green}2.04e-08$,$2.85e-15$
,$\Pi |x|$,REBF,G,$5.73e+00$,$8.33e-02$,$8.61e-03$,$1.53e+01$,$5.53e-09$,$2.35e-06$,$\cellcolor{green}8.17e-16$
\multirow{7}{*}{IEEE69},$P_{loss}$,PM,AB,$\cellcolor{green}3.66e+00$,$6.58e-02$,$1.06e-02$,$1.03e+02$,$5.48e-07$,$5.48e-07$,$7.92e-14$
,$\Sigma p(I_{pv})$,PM,AB,$3.66e+00$,$\cellcolor{green}6.58e-02$,$1.06e-02$,$1.03e+02$,$5.48e-07$,$5.48e-07$,$7.92e-14$
,$1/\Sigma p(DC)$,REBF,G,$6.21e+00$,$8.25e-02$,$\cellcolor{green}8.61e-03$,$1.3e+01$,$2.90e-13$,$2.76e-06$,$4.57e-20$
,$t[s]$,REBF,G,$6.21e+00$,$8.25e-02$,$8.61e-03$,$\cellcolor{green}1.3e+01$,$2.90e-13$,$2.76e-06$,$4.57e-20$
,Inf1,REBF,G,$6.21e+00$,$8.25e-02$,$8.61e-03$,$1.3e+01$,$\cellcolor{green}2.90e-13$,$2.76e-06$,$4.57e-20$
,Inf2,Meta,GWO_PAR,$5.28e+00$,$2.12e+00$,$9.45e-03$,$1.58e+02$,$2.37e-08$,$\cellcolor{green}2.39e-08$,$9.48e-15$
,$\Pi |x|$,REBF,G,$6.21e+00$,$8.25e-02$,$8.61e-03$,$1.3e+01$,$2.90e-13$,$2.76e-06$,$\cellcolor{green}4.57e-20$
\multirow{7}{*}{SA},$P_{loss}$,Meta,GWO_PAR,$\cellcolor{green}8.57e-02$,$2.53e+00$,$9.32e-03$,$1.27e+02$,$8.06e-07$,$8.03e-07$,$1.67e-13$
,$\Sigma p(I_{pv})$,PM,AB,$1.13e-01$,$\cellcolor{green}9.65e-03$,$8.68e-03$,$4.98e+01$,$4.31e-07$,$4.31e-07$,$8.73e-17$
,$1/\Sigma p(DC)$,PM,AB,$1.13e-01$,$9.65e-03$,$\cellcolor{green}8.68e-03$,$4.98e+01$,$4.31e-07$,$4.31e-07$,$8.73e-17$
,$t[s]$,PM,AB,$1.13e-01$,$9.65e-03$,$8.68e-03$,$\cellcolor{green}4.98e+01$,$4.31e-07$,$4.31e-07$,$8.73e-17$
,Inf1,PM,AB,$1.13e-01$,$9.65e-03$,$8.68e-03$,$4.98e+01$,$\cellcolor{green}4.31e-07$,$4.31e-07$,$8.73e-17$
,Inf2,PM,AB,$1.13e-01$,$9.65e-03$,$8.68e-03$,$4.98e+01$,$4.31e-07$,$\cellcolor{green}4.31e-07$,$8.73e-17$
,$\Pi |x|$,PM,AB,$1.13e-01$,$9.65e-03$,$8.68e-03$,$4.98e+01$,$4.31e-07$,$4.31e-07$,$\cellcolor{green}8.73e-17$
\multirow{7}{*}{CA141},$P_{loss}$,Meta,GWO_PAR,$\cellcolor{green}1.18e+01$,$1.39e+00$,$1.04e-02$,$1.95e+02$,$2.29e-07$,$1.42e-07$,$1.08e-12$
,$\Sigma p(I_{pv})$,PM,AB,$1.32e+01$,$\cellcolor{green}3.52e-01$,$9.43e-03$,$5.46e+01$,$8.14e-06$,$8.15e-06$,$1.59e-10$
,$1/\Sigma p(DC)$,REBF,G,$1.49e+01$,$4.3e-01$,$\cellcolor{green}8.75e-03$,$4.10e+01$,$6.82e-07$,$3.01e-05$,$4.74e-11$
,$t[s]$,REBF,G,$1.49e+01$,$4.3e-01$,$8.75e-03$,$\cellcolor{green}4.10e+01$,$6.82e-07$,$3.01e-05$,$4.74e-11$
,Inf1,Meta,GWO_PAR,$1.18e+01$,$1.39e+00$,$1.04e-02$,$1.95e+02$,$\cellcolor{green}2.29e-07$,$1.42e-07$,$1.08e-12$
,Inf2,Meta,GWO_PAR,$1.18e+01$,$1.39e+00$,$1.04e-02$,$1.95e+02$,$2.29e-07$,$\cellcolor{green}1.42e-07$,$1.08e-12$
,$\Pi |x|$,Meta,GWO_PAR,$1.18e+01$,$1.39e+00$,$1.04e-02$,$1.95e+02$,$2.29e-07$,$1.42e-07$,$\cellcolor{green}1.08e-12$
