,$\overline{I_{pv}}$,"('$I_{pv}$', 'IEEE33', 'PM')","('$I_{pv}$', 'IEEE69', 'PM')","('$I_{pv}$', 'SA', 'PM')","('$I_{pv}$', 'CA141', 'Meta')"
0,6.0965070219661415e-05,0.0,0.0,0.0,0.0
1,6.450606169727505e-05,0.0,0.0,0.0,0.0
2,6.269355419517452e-05,0.0,0.0,0.0,0.0
3,6.250150042011752e-05,0.0,0.0,0.0,0.0
4,6.020885848037443e-05,0.0,0.0,0.0,0.0
5,6.870123634617666e-05,0.0,0.0,0.0,0.0
6,0.0010642179810346746,0.0,0.0,0.0,0.0
7,0.0506031988956907,0.00464801663792479,0.004685465939227917,0.004,0.07052898420164684
8,0.1830461889329011,0.02179689907823423,0.02171207154456422,0.019,0.02049886532588424
9,0.32207718761253157,0.09786533948761324,0.09784773886233553,0.06281601661360219,0.0528936696302598
10,0.42823613011643225,0.1451090290207423,0.122202546587966,0.03836659329471832,0.07089584963998136
11,0.47700574960988934,0.1788256604779763,0.1560320117504357,0.05706666957007307,0.23494931209212358
12,0.49787450486136103,0.189717158340697,0.1621570559598266,0.0905,0.12442572233315462
13,0.4895749849957997,0.1729402798261901,0.1486190549365946,0.04618677484448633,0.05587761720061973
14,0.45765192053775,0.1122379688546926,0.08286442357229908,0.0309,0.18146268589084566
15,0.39037235025807254,0.07180000632839839,0.06891605341026594,0.0202,0.19817670207657803
16,0.2879598547593328,0.03673692225313271,0.02316413860994164,0.01925,0.14161745988143512
17,0.1644010803024844,0.009,0.009,0.009,0.05748572574426943
18,0.04099568479174166,0.0002,0.0002,0.0002,0.009400152136653716
19,0.0002596266954747327,0.0,0.0,0.0,0.0
20,5.5695594766534635e-05,0.0,0.0,0.0,0.0
21,5.643980314488057e-05,0.0,0.0,0.0,0.0
22,6.074900972272222e-05,0.0,0.0,0.0,0.0
23,6.801104309206549e-05,0.0,0.0,0.0,0.0
