,$p(\overline{DC_{2}})$,"('$p(DC_{2})$', 'IEEE33', 'PM')","('$p(DC_{2})$', 'IEEE69', 'PM')","('$p(DC_{2})$', 'SA', 'PM')","('$p(DC_{2})$', 'CA141', 'PM')"
0,0.5469170122658176,0.9903086337632472,0.9903086337632472,0.9903086304764354,0.9771531088780672
1,0.5682563630410884,0.9926192058641161,0.9926192058641161,0.9926192014350805,0.9880796390274833
2,0.5780696297547641,0.9977563966035725,0.9973436844319732,0.998485208089368,0.993883420262974
3,0.5935965237145572,0.9988888784241972,0.9987551521061863,0.9990988592531458,0.9971397838824975
4,0.6109162853357392,0.9994050167443906,0.9992344887505961,0.9999406325353865,0.9974909302811432
5,0.6458689803510402,0.9993844705752755,0.9991626773857537,0.9999657693142923,0.9966501442692302
6,0.6139414569462319,0.9957621226006438,0.9949829954503224,0.9984882410309489,0.9873747961875199
7,0.5630184707156164,0.9896210527298409,0.9879458463809212,0.9957858536409302,0.9717956283176499
8,0.5737568936697873,0.9844232451482167,0.9827424064341063,0.9914274879521561,0.9677793842077045
9,0.5480017864040019,0.9900589936948028,0.9886659688410813,0.9970959970475475,0.9748391771184095
10,0.5,0.9951593668778026,0.9951593668778026,0.9951593654210625,0.9921819580275814
11,0.5,0.9971859088736749,0.9971859088736749,0.9971859072970706,0.991796182471047
12,0.5,0.9996121997141953,0.9996121997141953,0.9996121991383744,0.987592601649507
13,0.5,0.9973350276087588,0.9962736429488563,0.9985764587318307,0.9797339289294414
14,0.5,0.9960123002755907,0.9960123002755907,0.9960122973957628,0.9790868389115001
15,0.470108481984581,0.9969280868929057,0.9969280868929057,0.9969280863084904,0.9969280868929057
16,0.4723500975821555,0.9993255230048438,0.9993255230048438,0.999325522439331,0.9955625919559133
17,0.5,0.9974521418762246,0.9974521418762246,0.9974521401467139,0.9908258532991508
18,0.5,0.9969643373228986,0.9957610244034816,0.99852044732248,0.9773917314496837
19,0.5,0.9788618721822124,0.9788618721822124,0.9788618718491902,0.9675478797840646
20,0.4056602090397257,0.7127321763299679,0.7127321763299679,0.7127321763299679,0.7127321763299679
21,0.4490168218169114,8.242996481140867e-05,8.242996481140867e-05,8.242996481140867e-05,8.242996481140867e-05
22,0.46326051663097456,0.9830219130647383,0.9830219130647383,0.9830219130647383,0.9737463345529702
23,0.48010279566699154,0.9893564061301312,0.9893564061301312,0.9893564025512219,0.9722485481952214
