,dv,dph,dpg,dqg,dpl,dql
PM,1.589289465599124e-14,3.2865990961476536e-16,2.587717320635275e-14,1.3207951968685224e-14,2.4063975862228983e-12,2.1221435147722967e-12
RM,2.877678612193063e-14,1.3703795309183548e-16,4.8082595296158946e-14,2.3571909215141937e-14,5.8427168810341305e-12,2.2475639228934808e-12
RRM,2.6687416651176574e-14,8.895609931060611e-06,4.35769069374127e-12,1.0464114032274531e-11,4.352262852577049e-12,1.0432199119203837e-11
PBIM,1.589883700340843e-14,3.298980360835782e-16,2.5900257935461453e-14,1.3172170166306403e-14,2.4063540536787182e-12,2.1241091684945378e-12
RBIM,2.8720191619571456e-14,1.4244087385347882e-16,4.7997325434372045e-14,2.379871480622298e-14,5.841954025241926e-12,2.233931552321077e-12
RRBIM,1.1165412617960482e-07,2.069879215806359e-07,1.5377973610250246e-07,8.20770097123068e-05,1.5378077273595737e-07,8.207659425430045e-05
BF,2.595390991454015e-12,0.004443365952342468,9.253497301444587e-14,5.19422914900071e-14,2.305786707953064e-11,6.2894958430309684e-12
RERCM,9.535952074459097e-05,0.0046732774684942625,0.04042673911223902,0.07017097872561079,0.07379251017336665,0.04028352857900591
RERRM,2.9557574311093218e-05,8.872441945475661e-05,0.051580743166345054,0.000250561575797367,0.05158074375515187,0.0002505614190850857
RERCBIM,0.03379739628230914,0.06387150356537044,0.029898352205757244,10.096630654038949,0.05550692365480275,26.38700781746864
RERRBIM,6.345883696849734e-10,2.0120056347600665e-11,6.60371692189966e-07,3.08217696999667e-07,5.266219494689665e-07,2.0067810049212054e-07
REBF,2.534208877138126e-11,0.004443367675440257,2.8651889981139096e-14,1.6605256703295296e-14,4.0029460720087757e-11,4.090212684693344e-11
MAT,0.0,0.0,0.0,0.0,0.0,0.0
